step,total,pde,ic,bc,bc_left,bc_right,bc_left_rmse,bc_right_rmse,bc_monitor,data,rmse_data,grad_norm,elapsed_s,val_total,val_pde,val_ic,val_bc,val_bc_left,val_bc_right,val_bc_left_rmse,val_bc_right_rmse,val_data,val_rmse_data,gen_gap_rmse_data
1,1.590582251548767,0.04257691651582718,0.03095436468720436,1.3364057540893555,0.671513557434082,0.6648921966552734,0.36647334694862366,0.815409243106842,0.0,0.18064527213573456,0.4250238489023111,8.17048387918065,0.17599058151245117,1.6103475093841553,0.027225926518440247,0.061843324452638626,1.3435004949569702,0.8829225301742554,0.46057799458503723,0.4202196002006531,0.6786589622497559,0.17777776718139648,0.4216370087900213,-0.0033868401122897906
2,1.4927318096160889,0.026174133643507957,0.045152612030506134,1.1479241847991943,0.22738757729530334,0.9205365777015686,0.21325458586215973,0.9594459533691406,0.0,0.27348095178604126,0.5229540627875848,12.274693791352133,0.49297451972961426,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,1.229363203048706,0.01979261077940464,0.017975714057683945,0.9913129806518555,0.248930886387825,0.7423821091651917,0.22312815487384796,0.8616160154342651,0.0,0.20028181374073029,0.4475285619273146,5.345286184995604,0.6309680938720703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,1.1239421367645264,0.014714578166604042,0.016346972435712814,0.9502853155136108,0.37944409251213074,0.5708411931991577,0.275479257106781,0.7555403113365173,0.0,0.14259523153305054,0.3776178379434035,6.47620873524534,0.7422349452972412,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,1.050177812576294,0.009755058214068413,0.021653002128005028,0.8943697214126587,0.3844231367111206,0.5099465847015381,0.2772807776927948,0.7141054272651672,0.0,0.12439998984336853,0.3527038273727243,8.232302185499602,0.8612284660339355,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,0.9298667907714844,0.005627679638564587,0.015547508373856544,0.7756415605545044,0.24709078669548035,0.5285508036613464,0.22230195999145508,0.7270150184631348,0.0,0.13304999470710754,0.3647601879414851,5.114199667092661,0.982222318649292,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,0.8437578082084656,0.0027767543215304613,0.007410328835248947,0.6834518313407898,0.10751798003911972,0.5759338736534119,0.14664104580879211,0.7589030861854553,0.0,0.1501188725233078,0.3874517679961053,2.9875736550705483,1.095217227935791,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,0.8122873902320862,0.0012297077337279916,0.003980565816164017,0.6407283544540405,0.04133564233779907,0.5993927121162415,0.09092375636100769,0.7742045521736145,0.0,0.16634875535964966,0.4078587443707069,5.875315550717974,1.2172114849090576,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.764424204826355,0.0005772006115876138,0.004310225136578083,0.5972868204116821,0.03168310225009918,0.5656037330627441,0.07960288971662521,0.7520663142204285,0.0,0.16224998235702515,0.4028026593221861,6.064598719041124,1.3442046642303467,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,0.689866304397583,0.00033193628769367933,0.010313361883163452,0.5448740124702454,0.0548953153192997,0.48997870087623596,0.10478102415800095,0.6999847888946533,0.0,0.13434705138206482,0.3665338338844926,3.348670447122789,1.464198350906372,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,0.6497544646263123,0.00023777596652507782,0.023561865091323853,0.5102643966674805,0.10058552771806717,0.4096788465976715,0.1418347805738449,0.640061616897583,0.0,0.1156904324889183,0.34013296295554524,2.7088518561677053,1.5891928672790527,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
